submission_id,start_form_time_stamp,end_form_time_stamp,sheet,section_id,quadrat,mainstem_tag,stem_tag,spcode,px,py,dbh,status,codes,hom,notes,dbh_2019,status_2019,codes_2019,notes_2019,new_secondary,scientific_name,unique_stem,date
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130913,130913,LIST2,6.6,3.8,25.3,LI,"NA",1.3,bark irregular,25.5,LI,NA,NA,False,NA,notag_130913,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130915,130915,LIBE3,6.6,5.6,1.6,LI,"NA",1.3,"NA",2.3,LI,NA,NA,False,NA,notag_130915,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130915,130916,LIBE3,6.6,5.6,1.2,DS,"NA",1.3,"NA",NA,DN,NA,NA,False,NA,notag_130916,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130915,130917,LIBE3,6.6,5.6,0,DN,"NA","NA","NA",NA,DN,NA,NA,False,NA,notag_130917,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,132988,132988,LIBE3,4,1.8,1.3,LI,M,1.3,"NA",1.4,LI,SEC,NA,True,NA,notag_132988,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,132988,132989,LIBE3,4,1.8,1.2,LI,SEC,1.3,"NA",1,LI,SEC,NA,True,NA,notag_132989,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,132990,130905,LIBE3,6,1,1.1,DS,"NA",1.3,"NA",NA,DT,NA,NA,False,NA,notag_130905,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,132990,132990,LIBE3,6,1,1,LI,"NA",1.3,"NA",NA,DS,R,Tag taken,False,NA,notag_132990,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130924,130923,LIBE3,5.1,5.4,1.1,LI,SEC,1.3,"NA",NA,DN,NA,NA,False,NA,notag_130923,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130924,130925,LIBE3,5.1,5.4,1.6,LI,SEC,1.3,"NA",NA,DC,R,NA,False,NA,notag_130925,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130924,132987,LIBE3,5.1,5.4,1.3,LI,SEC,1.3,"NA",NA,DC,R,NA,False,NA,notag_132987,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130924,130924,LIBE3,5.1,5.4,2.8,LI,M,1.3,"NA",NA,DC,NA,NA,True,NA,notag_130924,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130920,130920,LIBE3,4.9,4.6,1.5,LI,M,1.3,"NA",1.6,DS,NA,NA,False,NA,notag_130920,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130920,130921,LIBE3,4.9,4.6,0.8,DS,"NA",1.3,"NA",NA,DN,NA,NA,False,NA,notag_130921,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130920,130922,LIBE3,4.9,4.6,1.3,DS,"NA",1.3,"NA",NA,DN,NA,NA,False,NA,notag_130922,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,132994,132994,LIBE3,10,0.5,1.3,LI,M,1.3,"NA",1.4,LI,M,NA,False,NA,notag_132994,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,132994,132995,LIBE3,10,0.5,1.3,LI,SEC,1.3,"NA",1.3,LI,SEC,NA,False,NA,notag_132995,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130934,130932,LIBE3,4.4,7.6,0,SL,"NA","NA","NA",NA,DN,NA,NA,False,NA,notag_130932,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130934,130933,LIBE3,4.4,7.6,0,DN,"NA","NA","NA",NA,DN,NA,NA,False,NA,notag_130933,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130934,130934,LIBE3,4.4,7.6,0,DN,"NA","NA","NA",NA,DN,NA,NA,False,NA,notag_130934,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130926,130926,LIBE3,6.7,8.2,1.3,LI,A,1.37,changed from CACA18,NA,DN,NA,NA,False,NA,notag_130926,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130918,130918,LIBE3,4.1,3,1.1,LI,"NA",1.3,"NA",NA,DT,NA,NA,False,NA,notag_130918,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130919,130919,FRPE,1.6,0.6,0,DN,"NA","NA","NA",NA,DN,NA,NA,False,NA,notag_130919,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130906,130906,TORA2,8.3,0.5,0,DC,F; MT,"NA","NA",NA,DN,NA,NA,False,NA,notag_130906,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130907,130907,LIST2,7.5,0.5,0,DC,MT,"NA","NA",NA,DN,NA,NA,False,NA,notag_130907,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,1311,130908,130908,TORA2,8.3,0.5,0,DC,F; MT,"NA","NA",NA,DN,NA,NA,False,NA,notag_130908,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150235,150235,FAGR,3.1,0.4,5.4,LI,WDBH,1.3,"NA",5.4,LI,NA,NA,False,NA,notag_150235,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150238,150238,CACA18,3,2.4,11.8,LI,I,1.3,large hole on back side,12.4,NA,NA,NA,False,NA,notag_150238,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150239,150239,CACA18,2.3,3.4,5.2,LI,WDBH,1.3,"NA",4.8,DS,Q,NA,False,NA,notag_150239,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150240,150240,CACA18,2.7,5.1,5.3,LI,L,1.3,"NA",5.4,LI,L,Debris,False,NA,notag_150240,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150246,150246,COFL2,0.6,8.9,10.6,LI,"NA",1.3,"NA",10.6,LI,NA,NA,False,NA,notag_150246,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150244,150244,CAAL27,3.3,8.4,26.6,LI,WDBH,1.3,checked,27.2,LI,NA,NA,False,NA,notag_150244,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150243,150243,CAAL27,5.7,9.1,40.5,LI,"NA",1.3,"NA",42.6,LI,NA,NA,False,NA,notag_150243,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150245,150245,CACA18,4.2,6.5,6.8,LI,"NA",1.3,"NA",6.7,LI,NA,NA,False,NA,notag_150245,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150241,150241,CACA18,4.5,5.4,5.4,LI,"NA",1.3,"NA",5.4,LI,NA,NA,False,NA,notag_150241,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150242,150242,FAGR,9.8,8.6,13.7,LI,"NA",1.3,"NA",14.4,LI,NA,NA,False,NA,notag_150242,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150237,150237,CAAL27,8.6,4,20.4,LI,"NA",1.3,checked,20.4,LI,NA,NA,False,NA,notag_150237,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150236,150236,FAGR,7,0.3,28.1,LI,M,1.3,"NA",29,LI,M,NA,False,NA,notag_150236,2019-05-02
1f11a77f-deae-477b-97ac-68d61399336a,NA,NA,original_stems,NA,15106,150236,155908,FAGR,7,0.3,1.1,LI,SEC,1.3,on 150236,1,LI,SEC,NA,False,NA,notag_155908,2019-05-02
